unit,icd10,sex,age,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,X60-X84_Y870,T,Y50-54,TR	1.89 	3.35 	3.41 	2.61 	2.56 	3 	3.88 	4.42 p	5.44 p	: 
RT,X60-X84_Y870,T,Y50-54,UK	11.41 	11.64 	12.66 	11.62 	11.83 	11.72 	12.32 	12.93 p	: 	: 
RT,X60-X84_Y870,T,Y_GE85,AT	39.97 	40.21 	41.2 	50.97 	43.36 	49.36 	46.45 	48.36 p	44.66 p	41.76 
RT,X60-X84_Y870,T,Y_GE85,BE	30.29 	32.52 	26.02 	30.06 	23.81 	29.47 	22.47 	25.6 p	25.35 p	29.08 
RT,X60-X84_Y870,T,Y_GE85,BG	38.95 	46.93 	30.24 	34.08 	37.12 	40.07 	43.4 	28.18 p	29.33 p	24.74 
RT,X60-X84_Y870,T,Y_GE85,CH	33.57 	28.88 	35.99 	31.95 	33.04 	23.5 	26.12 	30.91 p	32.3 p	28.24 
RT,X60-X84_Y870,T,Y_GE85,CY	9.54 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 
RT,X60-X84_Y870,T,Y_GE85,CZ	29.21 	40.04 	32.65 	30.82 	24.82 	20.83 	31.78 	28.67 p	25.83 p	28.29 
RT,X60-X84_Y870,T,Y_GE85,DE	34.02 	33.29 	34.52 	34.34 	34.51 	33.16 	32.53 	34.56 p	32.07 p	35.15 
RT,X60-X84_Y870,T,Y_GE85,DK	20.5 	21.97 	27.78 	22.28 	22.89 	22.69 	24.13 	22.27 p	35.77 p	25.42 
RT,X60-X84_Y870,T,Y_GE85,EE	13.18 	40.69 	49.1 	46.07 	30.16 	35.02 	48.7 	53.16 p	28.94 p	39.52 
RT,X60-X84_Y870,T,Y_GE85,EL	6.28 	7.01 	6.2 	9.54 	8.68 	7.64 	10.5 	13.97 p	10.49 p	10.99 
RT,X60-X84_Y870,T,Y_GE85,ES	15.62 	17.04 	15.71 	20.83 	17.88 	17.12 	17.93 	17.3 p	15.82 p	19.6 
RT,X60-X84_Y870,T,Y_GE85,EU27_2020	25.36 	25.88 	25.13 	25.15 	24.99 	24.04 	23.8 	24.31 p	23.29 p	24.55 
RT,X60-X84_Y870,T,Y_GE85,FI	11.15 	11.54 	18.21 	15.2 	13.9 	15.6 	13.15 	17.02 p	17.41 p	17.65 
RT,X60-X84_Y870,T,Y_GE85,FR	39.48 	37.64 	36.36 	33.02 	33.29 	33.14 	32.71 	33.79 p	32.12 p	33.02 
RT,X60-X84_Y870,T,Y_GE85,HR	43.72 	47.76 	38.15 	45.79 	53.97 	47.54 	35.8 	34.31 p	47.13 p	39.19 
RT,X60-X84_Y870,T,Y_GE85,HU	51.9 	61.47 	52.85 	37.17 	51.93 	43.66 	45.86 	52.71 p	42.84 p	53.07 
RT,X60-X84_Y870,T,Y_GE85,IE	1.7 	6.67 	3.27 	1.58 	0 	1.46 	5.59 	2.67 p	1.27 p	1.21 
RT,X60-X84_Y870,T,Y_GE85,IS	0 	19.01 	0 	35.3 	0 	0 	0 	31.52 p	0 p	0 
RT,X60-X84_Y870,T,Y_GE85,IT	12.88 	13.14 	12.37 	14.71 	12.74 	12.67 	12.69 	12.47 p	12.49 p	13.44 
RT,X60-X84_Y870,T,Y_GE85,LI	181.98 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 
RT,X60-X84_Y870,T,Y_GE85,LT	55.78 	43.37 	61.19 	45.16 	41.82 	37.43 	40.58 	45 p	42.5 p	33.58 
RT,X60-X84_Y870,T,Y_GE85,LU	36.76 	0 	32 	10.02 	18.87 	8.99 	17.3 	25.25 p	32.96 p	16.26 
RT,X60-X84_Y870,T,Y_GE85,LV	41.07 	30.19 	25.76 	34.18 	49.03 	36.01 	41.65 	12.91 p	17.07 p	25.33 
RT,X60-X84_Y870,T,Y_GE85,MT	0 	15.01 	0 	41.41 	0 	0 	0 	0 p	0 p	0 
RT,X60-X84_Y870,T,Y_GE85,NL	11.86 	13.08 	17.3 	12.67 	14.32 	18.16 	15.28 	16.59 p	15.73 p	14.18 
RT,X60-X84_Y870,T,Y_GE85,NO	11.51 	13.21 	6.14 	9.59 	17.34 	13.79 	10.28 	14.54 p	12.83 p	7.68 
RT,X60-X84_Y870,T,Y_GE85,PL	14.32 	14.89 	16.04 	12.28 	14.35 	15.66 	9.81 	11.97 p	14.42 p	12.69 
RT,X60-X84_Y870,T,Y_GE85,PT	29.41 	35.31 	24.52 	29.52 	38.88 	25.04 	27.78 	22.7 p	29.07 p	25.91 
RT,X60-X84_Y870,T,Y_GE85,RO	17.13 	14.62 	17.35 	15.6 	21.97 	14.6 	12.04 	14.98 p	12.14 p	11.78 
RT,X60-X84_Y870,T,Y_GE85,RS	53.72 	57.61 	52.16 	55.31 	61.71 	47.46 	53.34 	61.03 p	50.58 p	43.82 
RT,X60-X84_Y870,T,Y_GE85,SE	12.29 	21.33 	21.65 	20.72 	20.58 	16.21 	24.98 	21.49 p	16.8 p	18.25 
RT,X60-X84_Y870,T,Y_GE85,SI	51.09 	39.94 	37.54 	30.75 	49.13 	44.46 	56.75 	42.86 p	52.63 p	62.55 
RT,X60-X84_Y870,T,Y_GE85,SK	16.36 	14.15 	15.11 	15.91 	12.48 	5.34 	6.43 	14.97 p	13.35 p	14.23 
RT,X60-X84_Y870,T,Y_GE85,TR	4.4 	4.16 	5.2 	5.02 	5.43 	6.01 	6.13 	7.96 p	7.73 p	: 
RT,X60-X84_Y870,T,Y_GE85,UK	5.33 	7.8 	7.85 	6.94 	7.58 	6.66 	8.23 	7.74 p	: 	: 
